OFFICIAL_GENE_SYMBOL	Name	Species
ATR	ATR serine/threonine kinase(atr)	Danio rerio
ADNP	activity dependent neuroprotector homeobox(adnp)	Danio rerio
CHD7	chromodomain helicase DNA binding protein 7(chd7)	Danio rerio
RAD54L2	RAD54-like 2 (S. cerevisiae)(rad54l2)	Danio rerio
TRIM16	tripartite motif containing 16(trim16)	Danio rerio
PHF8	PHD finger protein 8(phf8)	Danio rerio
HDAC3	histone deacetylase 3(hdac3)	Danio rerio
USP15	ubiquitin specific peptidase 15(usp15)	Danio rerio
ACTR8	ARP8 actin-related protein 8 homolog (yeast)(actr8)	Danio rerio
BAZ1A	bromodomain adjacent to zinc finger domain, 1A(baz1a)	Danio rerio
DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2(dnttip2)	Danio rerio
PRMT1	protein arginine methyltransferase 1(prmt1)	Danio rerio
znf516	zinc finger protein 516(znf516)	Danio rerio
SAFB	scaffold attachment factor B(safb)	Danio rerio
PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha(ppargc1a)	Danio rerio
CHD5	chromodomain helicase DNA binding protein 5(chd5)	Danio rerio
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)(ube2a)	Danio rerio
KDM5C	lysine (K)-specific demethylase 5C(kdm5c)	Danio rerio
KDM5A	lysine (K)-specific demethylase 5A(kdm5a)	Danio rerio
taf7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf7)	Danio rerio
NFRKB	nuclear factor related to kappaB binding protein(nfrkb)	Danio rerio
ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B(anp32b)	Danio rerio
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)(bap1)	Danio rerio
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide(ywhaz)	Danio rerio
prdm9	PR domain containing 9(prdm9)	Danio rerio
PHF19	PHD finger protein 19(phf19)	Danio rerio
SUPT7L	SPT7-like STAGA complex gamma subunit(supt7l)	Danio rerio
CHRAC1	chromatin accessibility complex 1(chrac1)	Danio rerio
TSSK6	testis-specific serine kinase 6(tssk6)	Danio rerio
